,IP,Datetime,2,3,Type,Bytes,Source,Request
0,72.52.71.2,2015-07-22 20:00:00.001315,AA,AUTH,SOA,10800,107.in-addr.arpa.,z.arin.net.
1,164.128.36.34,2015-07-22 20:00:00.008455,AA,AUTH,SOA,3600,58.243.212.in-addr.arpa.,ns1.ip-plus.net.
2,60.2.138.18,2015-07-22 20:00:00.055283,AA,AUTH,SOA,28800,182.61.in-addr.arpa.,ns.hesjptt.net.cn.
3,200.51.254.216,2015-07-22 20:00:00.056149,AA,ANS,PTR,86400,146.254.39.186.in-addr.arpa.,186-39-254-146.speedy.com.ar.
4,200.51.254.216,2015-07-22 20:00:00.056149,AA,AUTH,NS,86400,254.39.186.in-addr.arpa.,dns2.mrse.com.ar.
5,200.51.254.216,2015-07-22 20:00:00.056149,AA,AUTH,NS,86400,254.39.186.in-addr.arpa.,dns1.mrse.com.ar.
6,200.51.254.216,2015-07-22 20:00:00.056149,AA,AUTH,NS,86400,254.39.186.in-addr.arpa.,dns4.mrse.com.ar.
7,200.51.254.216,2015-07-22 20:00:00.056149,AA,AUTH,NS,86400,254.39.186.in-addr.arpa.,dns3.mrse.com.ar.
8,200.51.254.216,2015-07-22 20:00:00.056149,AA,ADD,A,86400,dns1.mrse.com.ar.,200.51.254.216
9,200.51.254.216,2015-07-22 20:00:00.056149,AA,ADD,A,86400,dns2.mrse.com.ar.,200.51.254.207
10,200.51.254.216,2015-07-22 20:00:00.056149,AA,ADD,A,86400,dns3.mrse.com.ar.,200.51.254.249
11,200.51.254.216,2015-07-22 20:00:00.056149,AA,ADD,A,86400,dns4.mrse.com.ar.,200.51.254.198
12,218.38.181.90,2015-07-22 20:00:00.058900,-,AUTH,NS,43200,44.25.59.in-addr.arpa.,rev2.kornet.net.
13,218.38.181.90,2015-07-22 20:00:00.058900,-,AUTH,NS,43200,44.25.59.in-addr.arpa.,rev1.kornet.net.
14,212.29.161.254,2015-07-22 20:00:00.063896,AA,ANS,PTR,7200,146.143.35.84.in-addr.arpa.,146-143-35-84.infopact.nl.
15,212.29.161.254,2015-07-22 20:00:00.063896,AA,AUTH,NS,7200,143.35.84.in-addr.arpa.,nsa.infopact.com.
16,212.29.161.254,2015-07-22 20:00:00.063896,AA,AUTH,NS,7200,143.35.84.in-addr.arpa.,nsb.infopact.com.
17,212.29.161.254,2015-07-22 20:00:00.063896,AA,ADD,A,86400,nsa.infopact.com.,212.29.160.1
18,212.29.161.254,2015-07-22 20:00:00.063896,AA,ADD,AAAA,86400,nsa.infopact.com.,2001:15b0::1:2003
19,212.29.161.254,2015-07-22 20:00:00.063896,AA,ADD,A,86400,nsb.infopact.com.,212.29.161.254
20,212.29.161.254,2015-07-22 20:00:00.063896,AA,ADD,AAAA,86400,nsb.infopact.com.,2001:15b0::1:3
